Tolong	O
share	O
donk	O
,	O
ada	O
yang	O
bs	O
ksh	O
masukan	O
ga	O
shampoo	O
apa	O
yang	O
bs	O
wi	O
coba	O
buat	O
ngegantiin	O
si	O
Kerastase	B-BRA
ini	O
?	O

gue	O
udah	O
pake	O
Dove	B-BRA
,	O
Sunsilk	B-BRA
,	O
Pantene	B-BRA
,	O
ama	O
apa	O
tuh	O
yang	O
Advisor	O
advisor	O
gitu	O
...	O
?	O

Karena	O
GHD	B-BRA
ada	O
produk	O
perawatan	O
rambutnya	O
,	O
disini	O
juga	O
bisa	O
untuk	O
membahas	O
produk	O
perawatannya	O
.	O

Dari	O
dulu	O
udah	O
maju	O
mundur	O
pengen	O
beli	O
GHD	B-BRA
,	O
kalau	O
untuk	O
pemula	O
,	O
beli	O
yang	O
mana	O
ya	O
?	O
Kemaren	O
liat	O
yang	O
macam	O
special	O
edition	O
lucu	O
lucu	O
ya	O
ada	O
tasnya	O
.	O
Tapi	O
kayanya	O
mau	O
beli	O
yang	O
biasa	O
aja	O
dulu	O
,	O
tapi	O
ya	O
itu	O
,	O
yang	O
mana	O
ya	O
?	O

kalau	O
beli	O
catokan	O
GHD	B-BRA
dimana	O
sih	O
?	O
apa	O
harus	O
PO	O
?	O

Mau	O
tanya	O
dong	O
,	O
beli	O
GHD	B-BRA
dimana	O
yah	O
?	O
Trus	O
yang	O
paling	O
murah	O
catokan	O
harganya	O
berapa	O
,	O
ada	O
yang	O
tau	O
gak	O
?	O
?	O
Lagi	O
ada	O
rencana	O
beli	O
nih	O
buat	O
nyatok	O
rambutku	O
yang	O
super	O
keriting	O
dan	O
bandel	O
...	O
T_T	O

hi2	O
smua	O
...	O
lg	O
pengen	O
beli	O
catokan	O
nih	O
...	O
klo	O
GHD	B-BRA
di	O
indo	O
ada	O
yg	O
jual	O
ga	O
ya	O
?	O
thanks	O

Kenapa	O
Fairy	O
?	O
udah	O
pake	O
produk	O
Kerastase	B-BRA
atau	O
baru	O
mau	O
mulai	O
?	O
.	O

kl	O
yg	O
resistance	O
gw	O
pake	O
shampoo	O
n	O
conditionernya	O
,	O
n	O
masker	B-PRO
age	I-PRO|B-TYP
recharge	I-PRO|I-TYP
.	O
Semua	O
produk	O
kerastase	B-BRA
gw	O
bilang	O
TOP	O
bgt	O
.	O

amit	O
amit	O
deh	O
tuh	O
